6	Anders Rønning Mandal
9	Sander Valde
10	Joakim Vestavik Hofstad
11	Eetu Moberg
12	Andreas Svedlund
14	Thomas Wiig
15	Erlend Normann Engh Johnsen
18	Olliver Dahlin
21	Sivert Wannebo
23	Sigve Bråten
27	Filip Klema
28	Daniel Hofstad
31	Peter Vincent Weiby Strøm
34	Mathias Eilertsen Jonassen
35	Isac Eriksson
41	Håvard Haugen Aune
44	Sander Håkan Skålvoll
48	Andreas Dahl
51	Marius Betten Kristoffersen
65	Tommy Falmår Hansen
74	Emil Mathias Lyngstad Sæteraas
77	Isak Håkon Caldwell
89	Ole Christian Westad Larssen
97	Tord Brekke Fagerli